"","Date","location","key","value","month"
"315",2018-10-23,"Mushima (Old port)","RP",33.6906744913607,10
"316",2018-10-23,"Mushima (New port)","RP",39.0293647113044,10
"317",2018-10-24,"Mushima (Old port)","RP",16.9810724742776,10
"318",2018-10-24,"Mushima (New port)","RP",42.8574495350153,10
"319",2018-10-25,"Mushima (Old port)","RP",50.2387823565539,10
"320",2018-10-25,"Mushima (New port)","RP",39.5193129695524,10
"321",2018-10-26,"Mushima (Old port)","RP",42.2215468890073,10
"322",2018-10-26,"Mushima (New port)","RP",18.4088975511719,10
"323",2018-10-27,"Mushima (Old port)","RP",4.83658800188209,10
"324",2018-10-27,"Mushima (New port)","RP",15.1227439906012,10
"325",2018-10-28,"Mushima (Old port)","RP",20.481005571294,10
"326",2018-10-28,"Mushima (New port)","RP",28.7890259342178,10
"327",2018-10-29,"Mushima (Old port)","RP",13.0344808595305,10
"328",2018-10-29,"Mushima (New port)","RP",17.8963134927733,10
"329",2018-10-30,"Mushima (Old port)","RP",10.9105339587637,10
"330",2018-10-30,"Mushima (New port)","RP",12.3531475330151,10
"331",2018-10-31,"Mushima (Old port)","RP",5.90042856991003,10
"332",2018-10-31,"Mushima (New port)","RP",20.0731304215229,10
"333",2018-11-01,"Mushima (Old port)","RP",10.2959778693622,11
"334",2018-11-01,"Mushima (New port)","RP",13.0308419401837,11
"335",2018-11-02,"Mushima (Old port)","RP",15.8803431373305,11
"336",2018-11-02,"Mushima (New port)","RP",17.7756875604013,11
"337",2018-11-03,"Mushima (Old port)","RP",20.1485228986096,11
"338",2018-11-03,"Mushima (New port)","RP",17.5575989180509,11
"339",2018-11-04,"Mushima (Old port)","RP",18.6368720196521,11
"340",2018-11-04,"Mushima (New port)","RP",21.7343432992204,11
"341",2018-11-05,"Mushima (Old port)","RP",16.2358102851422,11
"342",2018-11-05,"Mushima (New port)","RP",19.6879975954089,11
"343",2018-11-06,"Mushima (Old port)","RP",8.58171797216208,11
"344",2018-11-06,"Mushima (New port)","RP",17.4135769692752,11
"345",2018-11-07,"Mushima (Old port)","RP",7.40376733346576,11
"346",2018-11-07,"Mushima (New port)","RP",19.9602120820728,11
"347",2018-11-08,"Mushima (Old port)","RP",11.0525592342378,11
"348",2018-11-08,"Mushima (New port)","RP",11.3112415738402,11
"349",2018-11-09,"Mushima (Old port)","RP",16.4739762190377,11
"350",2018-11-09,"Mushima (New port)","RP",12.256945142983,11
"351",2018-11-10,"Mushima (Old port)","RP",10.4452111701361,11
"352",2018-11-10,"Mushima (New port)","RP",16.2296598216147,11
"353",2018-11-11,"Mushima (Old port)","RP",8.42127913876622,11
